This, is, the, Titanic, Dataset.
It, contains, all, passengers, that, were, aboard, the, titanic, when
141,1,3,female,22.0,0,0,$7.75,S,
142,1,3,female,24.0,1,0,$15.85,S,
143,0,3,male,19.0,0,0,$6.75,Q,
144,0,2,male,18.0,0,0,$11.5,S,
145,0,2,male,19.0,1,1,$36.75,S,
146,1,3,male,27.0,0,0,$7.7958,S,
147,0,3,female,9.0,2,2,$34.375,S,
148,0,2,male,36.5,0,2,$26.0,S,F
149,0,2,male,42.0,0,0,$13.0,S,
150,0,2,male,51.0,0,0,$12.525,S,
151,1,1,female,22.0,1,0,$66.6,S,C
152,0,3,male,55.5,0,0,$8.05,S,
153,0,3,male,40.5,0,2,$14.5,S,
154,0,3,male,Missing Data,0,0,$7.3125,S,
155,0,1,male,51.0,0,1,$61.3792,C,
156,1,3,female,16.0,0,0,$7.7333,Q,
157,0,3,male,30.0,0,0,$8.05,S,
158,0,3,male,Missing Data,0,0,$8.6625,S,
159,0,3,male,Missing Data,8,2,$69.55,S,
160,0,3,male,44.0,0,1,$16.1,S,
161,1,2,female,40.0,0,0,$15.75,S,
162,0,3,male,26.0,0,0,$7.775,S,
163,0,3,male,17.0,0,0,$8.6625,S,
164,0,3,male,1.0,4,1,$39.6875,S,
165,1,3,male,9.0,0,2,$20.525,S,
166,1,1,female,Missing Data,0,1,$55.0,S,E
167,0,3,female,45.0,1,4,$27.9,S,
168,0,1,male,Missing Data,0,0,$25.925,S,
169,0,3,male,28.0,0,0,$56.4958,S,
170,0,1,male,61.0,0,0,$33.5,S,B
171,0,3,male,4.0,4,1,$29.125,Q,
172,1,3,female,1.0,1,1,$11.1333,S,
173,0,3,male,21.0,0,0,$7.925,S,
174,0,1,male,56.0,0,0,$30.6958,C,A
175,0,3,male,18.0,1,1,$7.8542,S,
176,0,3,male,Missing Data,3,1,$25.4667,S,
177,0,1,female,50.0,0,0,$28.7125,C,C
178,0,2,male,30.0,0,0,$13.0,S,
179,0,3,male,36.0,0,0,$0.0,S,
180,0,3,female,Missing Data,8,2,$69.55,S,
181,0,2,male,Missing Data,0,0,$15.05,C,
182,0,3,male,9.0,4,2,$31.3875,S,
183,1,2,male,1.0,2,1,$39.0,S,F
184,1,3,female,4.0,0,2,$22.025,S,
185,0,1,male,Missing Data,0,0,$50.0,S,A
186,1,3,female,Missing Data,1,0,$15.5,Q,
187,1,1,male,45.0,0,0,$26.55,S,
188,0,3,male,40.0,1,1,$15.5,Q,
189,0,3,male,36.0,0,0,$7.8958,S,
190,1,2,female,32.0,0,0,$13.0,S,
191,0,2,male,19.0,0,0,$13.0,S,
192,1,3,female,19.0,1,0,$7.8542,S,
193,1,2,male,3.0,1,1,$26.0,S,F
194,1,1,female,44.0,0,0,$27.7208,C,B
195,1,1,female,58.0,0,0,$146.5208,C,B
196,0,3,male,Missing Data,0,0,$7.75,Q,
197,0,3,male,42.0,0,1,$8.4042,S,
198,1,3,female,Missing Data,0,0,$7.75,Q,
199,0,2,female,24.0,0,0,$13.0,S,
200,0,3,male,28.0,0,0,$9.5,S,
201,0,3,male,,8,2,$69.55,S,
202,0,3,male,34.0,0,0,$6.4958,S,
203,0,3,male,45.5,0,0,$7.225,C,
204,1,3,male,18.0,0,0,$8.05,S,
205,0,3,female,2.0,0,1,$10.4625,S,G
206,0,3,male,32.0,1,0,$15.85,S,
207,1,3,male,26.0,0,0,$18.7875,C,
208,1,3,female,16.0,0,0,$7.75,Q,
209,1,1,male,40.0,0,0,$31.0,C,A
210,0,3,male,24.0,0,0,$7.05,S,
211,1,2,female,35.0,0,0,$21.0,S,
212,0,3,male,22.0,0,0,$7.25,S,
213,0,2,male,30.0,0,0,$13.0,S,
214,0,3,male,,1,0,$7.75,Q,
215,1,1,female,31.0,1,0,$113.275,C,D
216,1,3,female,27.0,0,0,$7.925,S,
217,0,2,male,102,1,0,$27.0,S,
218,1,1,female,32.0,0,0,$76.2917,C,D
219,0,2,male,30.0,0,0,$10.5,S,
220,1,3,male,16.0,0,0,$8.05,S,
221,0,2,male,27.0,0,0,$13.0,S,
222,0,3,male,51.0,0,0,$8.05,S,
223,0,3,male,,0,0,$7.8958,S,
224,1,1,male,38.0,1,0,$90.0,S,C
225,0,3,male,22.0,0,0,$9.35,S,
226,1,2,male,19.0,0,0,$10.5,S,
227,0,3,male,20.5,0,0,$7.25,S,
228,0,2,male,18.0,0,0,$13.0,S,
229,0,3,female,,3,1,$25.4667,S,
230,1,1,female,35.0,1,0,$83.475,S,C
231,0,3,male,29.0,0,0,$7.775,S,
232,0,2,male,59.0,0,0,$13.5,S,
233,1,3,female,5.0,4,2,$31.3875,S,
234,0,2,male,24.0,0,0,$10.5,S,
235,0,3,female,,0,0,$7.55,S,
236,0,2,male,44.0,1,0,$26.0,S,
237,1,2,female,8.0,0,2,$26.25,S,
238,0,2,male,19.0,0,0,$10.5,S,
239,0,2,male,33.0,0,0,$12.275,S,
240,0,3,female,,1,0,$14.4542,C,
241,1,3,female,,1,0,$15.5,Q,
242,0,2,male,29.0,0,0,$10.5,S,
243,0,3,male,22.0,0,0,$7.125,S,
244,0,3,male,30.0,0,0,$7.225,C,
245,0,1,male,44.0,2,0,$90.0,Q,C
246,0,3,female,25.0,0,0,$7.775,S,
247,1,2,female,24.0,0,2,$14.5,S,
248,1,1,male,37.0,1,1,$52.5542,S,D
249,0,2,male,54.0,1,0,$26.0,S,
250,0,3,male,,0,0,$7.25,S,
251,0,3,female,29.0,1,1,$10.4625,S,G
252,0,1,male,62.0,0,0,$26.55,S,C
253,0,3,male,30.0,1,0,$16.1,S,
254,0,3,female,41.0,0,2,$20.2125,S,
255,1,3,female,29.0,0,2,$15.2458,C,
256,1,1,female,,0,0,$79.2,C,
257,1,1,female,30.0,0,0,$86.5,S,B
258,1,1,female,35.0,0,0,$512.3292,C,
259,1,2,female,50.0,0,1,$26.0,S,
260,0,3,male,,0,0,$7.75,Q,
261,1,3,male,3.0,4,2,$31.3875,S,
262,0,1,male,52.0,1,1,$79.65,S,E
263,0,1,male,40.0,0,0,$0.0,S,B
264,0,3,female,,0,0,$7.75,Q,
265,0,2,male,36.0,0,0,$10.5,S,
266,0,3,male,16.0,4,1,$39.6875,S,
267,1,3,male,25.0,1,0,$7.775,S,
268,1,1,female,58.0,0,1,$153.4625,S,C
269,1,1,female,35.0,0,0,$135.6333,S,C
270,0,1,male,,0,0,$31.0,S,
271,1,3,male,25.0,0,0,$0.0,S,
272,1,2,female,41.0,0,1,$19.5,S,
273,0,1,male,37.0,0,1,$29.7,C,C
274,1,3,female,,0,0,$7.75,Q,
275,1,1,female,63.0,1,0,$77.9583,S,D
276,0,3,female,45.0,0,0,$7.75,S,
277,0,2,male,,0,0,$0.0,S,
278,0,3,male,7.0,4,1,$29.125,Q,
279,1,3,female,35.0,1,1,$20.25,S,
280,0,3,male,65.0,0,0,$7.75,Q,
281,0,3,male,28.0,0,0,$7.8542,S,
282,0,3,male,16.0,0,0,$9.5,S,
283,1,3,male,19.0,0,0,$8.05,S,
284,0,1,male,,0,0,$26.0,S,A
285,0,3,male,33.0,0,0,$8.6625,C,
286,1,3,male,30.0,0,0,$9.5,S,
287,0,3,male,22.0,0,0,$7.8958,S,
288,1,2,male,42.0,0,0,$13.0,S,
289,1,3,female,22.0,0,0,$7.75,Q,
290,1,1,female,26.0,0,0,$78.85,S,
291,1,1,female,19.0,1,0,$91.0792,C,B
292,0,2,male,36.0,0,0,$12.875,C,D
293,0,3,female,24.0,0,0,$8.85,S,
294,0,3,male,24.0,0,0,$7.8958,S,
295,0,1,male,,0,0,$27.7208,C,
296,0,3,male,23.5,0,0,$7.2292,C,
297,0,1,female,2.0,1,2,$151.55,S,C
298,1,1,male,,0,0,$30.5,S,C
299,1,1,female,50.0,0,1,$247.5208,C,B
300,1,3,female,,0,0,$7.75,Q,
301,1,3,male,,2,0,$23.25,Q,
302,0,3,male,19.0,0,0,$0.0,S,
303,1,2,female,,0,0,$12.35,Q,E
304,0,3,male,,0,0,$8.05,S,
305,1,1,male,0.92,1,2,$151.55,S,C
306,1,1,female,,0,0,$110.8833,C,
307,1,1,female,17.0,1,0,$108.9,C,C
308,0,2,male,30.0,1,0,$24.0,C,
309,1,1,female,30.0,0,0,$56.9292,C,E
310,1,1,female,24.0,0,0,$83.1583,C,C
311,1,1,female,18.0,2,2,$262.375,C,B
312,0,2,female,26.0,1,1,$26.0,S,
313,0,3,male,28.0,0,0,$7.8958,S,
314,0,2,male,43.0,1,1,$26.25,S,
315,1,3,female,26.0,0,0,$7.8542,S,
316,1,2,female,24.0,1,0,$26.0,S,
317,0,2,male,54.0,0,0,$14.0,S,
318,1,1,female,31.0,0,2,$164.8667,S,C
319,1,1,female,40.0,1,1,$134.5,C,E
320,0,3,male,22.0,0,0,$7.25,S,
321,0,3,male,27.0,0,0,$7.8958,S,
322,1,2,female,30.0,0,0,$12.35,Q,
323,1,2,female,22.0,1,1,$29.0,S,
324,0,3,male,,8,2,$69.55,S,
325,1,1,female,36.0,0,0,$135.6333,C,C
326,0,3,male,61.0,0,0,$6.2375,S,
327,1,2,female,36.0,0,0,$13.0,S,D
328,1,3,female,31.0,1,1,$20.525,S,
329,1,1,female,16.0,0,1,$57.9792,C,B
330,1,3,female,,2,0,$23.25,Q,
331,0,1,male,45.5,0,0,$28.5,S,C
332,0,1,male,38.0,0,1,$153.4625,S,C
333,0,3,male,16.0,2,0,$18.0,S,
334,1,1,female,,1,0,$133.65,S,
335,0,3,male,,0,0,$7.8958,S,
336,0,1,male,29.0,1,0,$66.6,S,C
337,1,1,female,41.0,0,0,$134.5,C,E
338,1,3,male,45.0,0,0,$8.05,S,
339,0,1,male,45.0,0,0,$35.5,S,
340,1,2,male,2.0,1,1,$26.0,S,F
341,1,1,female,24.0,3,2,$263.0,S,C
342,0,2,male,28.0,0,0,$13.0,S,
343,0,2,male,25.0,0,0,$13.0,S,
344,0,2,male,36.0,0,0,$13.0,S,
345,1,2,female,24.0,0,0,$13.0,S,F
346,1,2,female,40.0,0,0,$13.0,S,
347,1,3,female,,1,0,$16.1,S,
348,1,3,male,3.0,1,1,$15.9,S,
349,0,3,male,42.0,0,0,$8.6625,S,
350,0,3,male,23.0,0,0,$9.225,S,
351,0,1,male,,0,0,$35.0,S,C
352,0,3,male,15.0,1,1,$7.2292,C,
353,0,3,male,25.0,1,0,$17.8,S,
354,0,3,male,,0,0,$7.225,C,
355,0,3,male,28.0,0,0,$9.5,S,
356,1,1,female,22.0,0,1,$55.0,S,E
357,0,2,female,38.0,0,0,$13.0,S,
358,1,3,female,,0,0,$7.8792,Q,
359,1,3,female,,0,0,$7.8792,Q,
360,0,3,male,40.0,1,4,$27.9,S,
361,0,2,male,29.0,1,0,$27.7208,C,
362,0,3,female,45.0,0,1,$14.4542,C,
363,0,3,male,35.0,0,0,$7.05,S,
364,0,3,male,,1,0,$15.5,Q,
365,0,3,male,30.0,0,0,$7.25,S,
366,1,1,female,60.0,1,0,$75.25,C,D
367,1,3,female,,0,0,$7.2292,C,
368,1,3,female,,0,0,$7.75,Q,
369,1,1,female,24.0,0,0,$69.3,C,B
370,1,1,male,25.0,1,0,$55.4417,C,E
371,0,3,male,18.0,1,0,$6.4958,S,
372,0,3,male,19.0,0,0,$8.05,S,
373,0,1,male,22.0,0,0,$135.6333,C,
374,0,3,female,3.0,3,1,$21.075,S,
375,1,1,female,,1,0,$82.1708,C,
376,1,3,female,22.0,0,0,$7.25,S,
377,0,1,male,27.0,0,2,$211.5,C,C
378,0,3,male,20.0,0,0,$4.0125,C,
379,0,3,male,19.0,0,0,$7.775,S,
380,1,1,female,42.0,0,0,$227.525,C,
381,1,3,female,1.0,0,2,$15.7417,C,
382,0,3,male,32.0,0,0,$7.925,S,
383,1,1,female,35.0,1,0,$52.0,S,
384,0,3,male,,0,0,$7.8958,S,
385,0,2,male,18.0,0,0,$73.5,S,
386,0,3,male,1.0,5,2,$46.9,S,
387,1,2,female,36.0,0,0,$13.0,S,
388,0,3,male,,0,0,$7.7292,Q,
389,1,2,female,17.0,0,0,$12.0,C,
390,1,1,male,36.0,1,2,$120.0,S,B
391,1,3,male,21.0,0,0,$7.7958,S,
392,0,3,male,28.0,2,0,$7.925,S,
393,1,1,female,23.0,1,0,$113.275,C,D
394,1,3,female,24.0,0,2,$16.7,S,G
395,0,3,male,22.0,0,0,$7.7958,S,
396,0,3,female,31.0,0,0,$7.8542,S,
397,0,2,male,46.0,0,0,$26.0,S,
398,0,2,male,23.0,0,0,$10.5,S,
399,1,2,female,28.0,0,0,$12.65,S,
400,1,3,male,39.0,0,0,$7.925,S,
401,0,3,male,26.0,0,0,$8.05,S,
402,0,3,female,21.0,1,0,$9.825,S,
403,0,3,male,28.0,1,0,$15.85,S,
404,0,3,female,20.0,0,0,$8.6625,S,
405,0,2,male,34.0,1,0,$21.0,S,
406,0,3,male,51.0,0,0,$7.75,S,
407,1,2,male,3.0,1,1,$18.75,S,
408,0,3,male,21.0,0,0,$7.775,S,
409,0,3,female,,3,1,$25.4667,S,
410,0,3,male,,0,0,$7.8958,S,
411,0,3,male,,0,0,$6.8583,Q,
412,1,1,female,33.0,1,0,$90.0,Q,C
413,0,2,male,,0,0,$0.0,S,
414,1,3,male,44.0,0,0,$7.925,S,
415,0,3,female,,0,0,$8.05,S,
416,1,2,female,34.0,1,1,$32.5,S,
417,1,2,female,18.0,0,2,$13.0,S,
418,0,2,male,30.0,0,0,$13.0,S,
419,0,3,female,10.0,0,2,$24.15,S,
420,0,3,male,,0,0,$7.8958,C,
421,0,3,male,21.0,0,0,$7.7333,Q,
422,0,3,male,29.0,0,0,$7.875,S,
423,0,3,female,28.0,1,1,$14.4,S,
424,0,3,male,18.0,1,1,$20.2125,S,
425,0,3,male,,0,0,$7.25,S,
426,1,2,female,28.0,1,0,$26.0,S,
427,1,2,female,19.0,0,0,$26.0,S,
428,0,3,male,,0,0,$7.75,Q,
429,1,3,male,32.0,0,0,$8.05,S,E
430,1,1,male,28.0,0,0,$26.55,S,C
431,1,3,female,,1,0,$16.1,S,
432,1,2,female,42.0,1,0,$26.0,S,
433,0,3,male,17.0,0,0,$7.125,S,
434,0,1,male,50.0,1,0,$55.9,S,E
435,1,1,female,14.0,1,2,$120.0,S,B
436,0,3,female,21.0,2,2,$34.375,S,
437,1,2,female,24.0,2,3,$18.75,S,
438,0,1,male,64.0,1,4,$263.0,S,C
439,0,2,male,31.0,0,0,$10.5,S,
440,1,2,female,45.0,1,1,$26.25,S,
441,0,3,male,20.0,0,0,$9.5,S,
442,0,3,male,25.0,1,0,$7.775,S,
443,1,2,female,28.0,0,0,$13.0,S,
444,1,3,male,,0,0,$8.1125,S,
445,1,1,male,4.0,0,2,$81.8583,S,A
446,1,2,female,13.0,0,1,$19.5,S,
447,1,1,male,34.0,0,0,$26.55,S,
448,1,3,female,5.0,2,1,$19.2583,C,
449,1,1,male,52.0,0,0,$30.5,S,C
450,0,2,male,36.0,1,2,$27.75,S,
451,0,3,male,,1,0,$19.9667,S,
452,0,1,male,30.0,0,0,$27.75,C,C
453,1,1,male,490,1,0,$89.1042,C,C
454,0,3,male,,0,0,$8.05,S,
455,1,3,male,29.0,0,0,$7.8958,C,
456,0,1,male,65.0,0,0,$26.55,S,E
457,1,1,female,,1,0,$51.8625,S,D
458,1,2,female,50.0,0,0,$10.5,S,
459,0,3,male,,0,0,$7.75,Q,
460,1,1,male,48.0,0,0,$26.55,S,E
461,0,3,male,34.0,0,0,$8.05,S,
462,0,1,male,47.0,0,0,$38.5,S,E
463,0,2,male,48.0,0,0,$13.0,S,
464,0,3,male,,0,0,$8.05,S,
465,0,3,male,38.0,0,0,$7.05,S,
466,0,2,male,,0,0,$0.0,S,
467,0,1,male,56.0,0,0,$26.55,S,
468,0,3,male,,0,0,$7.725,Q,
469,1,3,female,0.75,2,1,$19.2583,C,
470,0,3,male,,0,0,$7.25,S,
471,0,3,male,38.0,0,0,$8.6625,S,
472,1,2,female,33.0,1,2,$27.75,S,
473,1,2,female,23.0,0,0,$13.7917,C,D
474,0,3,female,22.0,0,0,$9.8375,S,
475,0,1,male,,0,0,$52.0,S,A
476,0,2,male,34.0,1,0,$21.0,S,
477,0,3,male,29.0,1,0,$7.0458,S,
478,0,3,male,22.0,0,0,$7.5208,S,
479,1,3,female,2.0,0,1,$12.2875,S,
480,0,3,male,9.0,5,2,$46.9,S,
481,0,2,male,,0,0,$0.0,S,
482,0,3,male,50.0,0,0,$8.05,S,
483,1,3,female,63.0,0,0,$9.5875,S,
484,1,1,male,25.0,1,0,$91.0792,C,B
485,0,3,female,,3,1,$25.4667,S,
486,1,1,female,35.0,1,0,$90.0,S,C
487,0,1,male,58.0,0,0,$29.7,C,B
488,0,3,male,30.0,0,0,$8.05,S,
489,1,3,male,9.0,1,1,$15.9,S,
490,0,3,male,,1,0,$19.9667,S,
491,0,3,male,21.0,0,0,$7.25,S,
492,0,1,male,55.0,0,0,$30.5,S,C
493,0,1,male,71.0,0,0,$49.5042,C,
494,0,3,male,21.0,0,0,$8.05,S,
495,0,3,male,,0,0,$14.4583,C,
496,1,1,female,54.0,1,0,$78.2667,C,D
497,0,3,male,,0,0,$15.1,S,
498,0,1,female,25.0,1,2,$151.55,S,C
499,0,3,male,24.0,0,0,$7.7958,S,
500,0,3,male,17.0,0,0,$8.6625,S,
501,0,3,female,21.0,0,0,$7.75,Q,
502,0,3,female,,0,0,$7.6292,Q,
503,0,3,female,37.0,0,0,$9.5875,S,
504,1,1,female,16.0,0,0,$86.5,S,B
505,0,1,male,18.0,1,0,$108.9,C,C
506,1,2,female,33.0,0,2,$26.0,S,
507,1,1,male,,0,0,$26.55,S,
508,0,3,male,28.0,0,0,$22.525,S,
509,1,3,male,26.0,0,0,$56.4958,S,
510,1,3,male,29.0,0,0,$7.75,Q,
511,0,3,male,,0,0,$8.05,S,
512,1,1,male,36.0,0,0,$26.2875,S,E
513,1,1,female,54.0,1,0,$59.4,C,
514,0,3,male,24.0,0,0,$7.4958,S,
515,0,1,male,47.0,0,0,$34.0208,S,D
516,1,2,female,34.0,0,0,$10.5,S,F
517,0,3,male,,0,0,$24.15,Q,
518,1,2,female,36.0,1,0,$26.0,S,
519,0,3,male,32.0,0,0,$7.8958,S,
520,1,1,female,30.0,0,0,$93.5,S,B
521,0,3,male,22.0,0,0,$7.8958,S,
522,0,3,male,,0,0,$7.225,C,
523,1,1,female,44.0,0,1,$57.9792,C,B
524,0,3,male,,0,0,$7.2292,C,
525,0,3,male,40.5,0,0,$7.75,Q,
526,1,2,female,50.0,0,0,$10.5,S,
527,0,1,male,,0,0,$221.7792,S,C
528,0,3,male,39.0,0,0,$7.925,S,
529,0,2,male,23.0,2,1,$11.5,S,
530,1,2,female,2.0,1,1,$26.0,S,
531,0,3,male,,0,0,$7.2292,C,
532,0,3,male,17.0,1,1,$7.2292,C,
533,1,3,female,,0,2,$22.3583,C,
534,0,3,female,30.0,0,0,$8.6625,S,
535,1,2,female,7.0,0,2,$26.25,S,
536,0,1,male,45.0,0,0,$26.55,S,B
537,1,1,female,30.0,0,0,$106.425,C,
538,0,3,male,,0,0,$14.5,S,
539,1,1,female,22.0,0,2,$49.5,C,B
540,1,1,female,36.0,0,2,$71.0,S,B
541,0,3,female,9.0,4,2,$31.275,S,
542,0,3,female,11.0,4,2,$31.275,S,
543,1,2,male,32.0,1,0,$26.0,S,
544,no,1,male,50.0,1,0,$106.425,C,C
545,0,1,male,64.0,0,0,$26.0,S,
546,1,2,female,19.0,1,0,$26.0,S,
547,1,2,male,,0,0,$13.8625,C,
548,0,3,male,33.0,1,1,$20.525,S,
549,1,2,male,8.0,1,1,$36.75,S,
550,1,1,male,17.0,0,2,$110.8833,C,C
551,0,2,male,27.0,0,0,$26.0,S,
552,0,3,male,,0,0,$7.8292,Q,
553,1,3,male,22.0,0,0,$7.225,C,
554,1,3,female,22.0,0,0,$7.775,S,
555,0,1,male,62.0,0,0,$26.55,S,
556,1,1,female,48.0,1,0,$39.6,C,A
557,0,1,male,,0,0,$227.525,C,
558,1,1,female,39.0,1,1,$79.65,S,E
559,1,3,female,36.0,1,0,$17.4,S,
560,0,3,male,,0,0,$7.75,Q,
561,0,3,male,40.0,0,0,$7.8958,S,
562,0,2,male,28.0,0,0,$13.5,S,
563,0,3,male,,0,0,$8.05,S,
564,0,3,female,,0,0,$8.05,S,
565,0,3,male,24.0,2,0,$24.15,S,
566,0,3,male,19.0,0,0,$7.8958,S,
567,0,3,female,29.0,0,4,$21.075,S,
568,0,3,male,,0,0,$7.2292,C,
569,1,3,male,32.0,0,0,$7.8542,S,
