Year,City,Sport,Discipline,Athlete_Name,Country,Gender,Event,Medal
1896,Athens,Cycling,Cycling Track,"Flameng, Léon",FRA,Men,100KM,Gold
1896,Athens,Cycling,Cycling Track,"Kolettis, Georgios",GRE,Men,100KM,Silver
1896,Athens,Cycling,Cycling Track,"Schmal, Adolf",AUT,Men,10KM,Bronze
1896,Athens,Cycling,Cycling Track,"Masson, Paul",FRA,Men,10KM,Gold
1896,Athens,Cycling,Cycling Track,"Flameng, Léon",FRA,Men,10KM,Silver
1896,Athens,Cycling,Cycling Track,"Schmal, Adolf",AUT,Men,12-Hour Race,Gold
1896,Athens,Cycling,Cycling Track,"Keeping, Frank",GBR,Men,12-Hour Race,Silver
1896,Athens,Cycling,Cycling Track,"Schmal, Adolf",AUT,Men,1KM Time Trial,Bronze
1896,Athens,Cycling,Cycling Track,"Masson, Paul",FRA,Men,1KM Time Trial,Gold
1896,Athens,Cycling,Cycling Track,"Nikolopoulos, Stamatios",GRE,Men,1KM Time Trial,Silver
1896,Athens,Cycling,Cycling Track,"Flameng, Léon",FRA,Men,Sprint Indivual,Bronze
1896,Athens,Cycling,Cycling Track,"Masson, Paul",FRA,Men,Sprint Indivual,Gold
1896,Athens,Cycling,Cycling Track,"Nikolopoulos, Stamatios",GRE,Men,Sprint Indivual,Silver
1896,Athens,Fencing,Fencing,"Pierrakos-Mavromichalis, Perikles",GRE,Men,Foil Individual,Bronze
1896,Athens,Fencing,Fencing,"Gravelotte, Eugène-Henri",FRA,Men,Foil Individual,Gold
1896,Athens,Fencing,Fencing,"Callot, Henri",FRA,Men,Foil Individual,Silver
1896,Athens,Fencing,Fencing,"Pyrgos, Leonidas",GRE,Men,"Foil, Masters",Gold
1896,Athens,Fencing,Fencing,"Perronnet, Maurice",FRA,Men,"Foil, Masters",Silver
1896,Athens,Fencing,Fencing,"Nielsen, Holger",DEN,Men,Sabre Individual,Bronze
1896,Athens,Fencing,Fencing,"Georgiadis, Ioannis",GRE,Men,Sabre Individual,Gold
1896,Athens,Fencing,Fencing,"Karakalos, Telemachos",GRE,Men,Sabre Individual,Silver
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,Horizontal Bar,Gold
1896,Athens,Gymnastics,Artistic G.,"Flatow, Alfred",GER,Men,Horizontal Bar,Silver
1896,Athens,Gymnastics,Artistic G.,"Flatow, Alfred",GER,Men,Parallel Bars,Gold
1896,Athens,Gymnastics,Artistic G.,"Zutter, Louis",SUI,Men,Parallel Bars,Silver
1896,Athens,Gymnastics,Artistic G.,"Zutter, Louis",SUI,Men,Pommel Horse,Gold
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,Pommel Horse,Silver
1896,Athens,Gymnastics,Artistic G.,"Persakis, Petros",GRE,Men,Rings,Bronze
1896,Athens,Gymnastics,Artistic G.,"Mitropoulos, Ioannis",GRE,Men,Rings,Gold
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,Rings,Silver
1896,Athens,Gymnastics,Artistic G.,"Hofmann, Fritz",GER,Men,Rope Climbing,Bronze
1896,Athens,Gymnastics,Artistic G.,"Andriakopoulos, Nicolaos",GRE,Men,Rope Climbing,Gold
1896,Athens,Gymnastics,Artistic G.,"Xenakis, Thomasios",GRE,Men,Rope Climbing,Silver
1896,Athens,Gymnastics,Artistic G.,"Böcker, Konrad",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Flatow, Alfred",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Flatow, Gustav Felix",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Hilmar, Georg",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Hofmann, Fritz",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Manteuffel, Fritz",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Neukirch, Karl",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Röstel, Richard",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Schuft, Gustav",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Schumann, Carl",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,"Chrysaphis, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"Karvelas, Phillippos",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"Loundras, Dimitrios",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"Mitropoulos, Ioannis",GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,"Böcker, Konrad",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Flatow, Alfred",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Flatow, Gustav Felix",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Hilmar, Georg",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Hofmann, Fritz",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Manteuffel, Fritz",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Neukirch, Karl",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Röstel, Richard",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Schuft, Gustav",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Schumann, Carl",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,"Andriakopoulos, Nicolaos",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"Athanasopoulos, Spyros",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"Persakis, Petros",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"Xenakis, Thomasios",GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,"Weingärtner, Hermann",GER,Men,Vault,Bronze
1896,Athens,Gymnastics,Artistic G.,"Schumann, Carl",GER,Men,Vault,Gold
1896,Athens,Gymnastics,Artistic G.,"Zutter, Louis",SUI,Men,Vault,Silver
1896,Athens,Shooting,Shooting,"Morakis, Nikolaos",GRE,Men,25M Army Pistol,Bronze
1896,Athens,Shooting,Shooting,"Paine, John",USA,Men,25M Army Pistol,Gold
1896,Athens,Shooting,Shooting,"Paine, Sumner",USA,Men,25M Army Pistol,Silver
1896,Athens,Shooting,Shooting,"Nielsen, Holger",DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,"Phrangoudis, Joannis",GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,"Orphanidis, Georgios",GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,"Phrangoudis, Joannis",GRE,Men,50M Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,"Paine, Sumner",USA,Men,50M Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,"Nielsen, Holger",DEN,Men,50M Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,"Trikupis, Nicolaos",GRE,Men,"Army Rifle, 200M",Bronze
1896,Athens,Shooting,Shooting,"Karasevdas, Pantelis",GRE,Men,"Army Rifle, 200M",Gold
1896,Athens,Shooting,Shooting,"Pavlidis, Pavlos",GRE,Men,"Army Rifle, 200M",Silver
1896,Athens,Shooting,Shooting,"Jensen, Viggo",DEN,Men,"Army Rifle, 300M",Bronze
1896,Athens,Shooting,Shooting,"Orphanidis, Georgios",GRE,Men,"Army Rifle, 300M",Gold
1896,Athens,Shooting,Shooting,"Phrangoudis, Joannis",GRE,Men,"Army Rifle, 300M",Silver
1896,Athens,Tennis,Tennis,"Flack, Edwin",ZZX,Men,Doubles,Bronze
1896,Athens,Tennis,Tennis,"Robertson, George Stuart",ZZX,Men,Doubles,Bronze
1896,Athens,Tennis,Tennis,"Boland, John",ZZX,Men,Doubles,Gold
1896,Athens,Tennis,Tennis,"Traun, Friedrich",ZZX,Men,Doubles,Gold
1896,Athens,Tennis,Tennis,"Kasdaglis, Dionysios",ZZX,Men,Doubles,Silver
1896,Athens,Tennis,Tennis,"Petrokokkinos, Demetrios",ZZX,Men,Doubles,Silver
1896,Athens,Tennis,Tennis,"Paspatis, Konstantinos",GRE,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,"Tapavicza, Momcsillo",HUN,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,"Boland, John",GBR,Men,Singles,Gold
1896,Athens,Tennis,Tennis,"Kasdaglis, Dionysios",GRE,Men,Singles,Silver
1896,Athens,Weightlifting,Weightlifting,"Nikolopoulos, Alexandros",GRE,Men,Heavyweight - One Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,"Elliott, Launceston",GBR,Men,Heavyweight - One Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,"Jensen, Viggo",DEN,Men,Heavyweight - One Hand Lift,Silver
1896,Athens,Weightlifting,Weightlifting,"Versis, Sotirios",GRE,Men,Heavyweight - Two Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,"Jensen, Viggo",DEN,Men,Heavyweight - Two Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,"Elliott, Launceston",GBR,Men,Heavyweight - Two Hand Lift,Silver
1896,Athens,Wrestling,Wrestling Gre-R,"Christopoulos, Stephanos",GRE,Men,Open Event,Bronze
1896,Athens,Wrestling,Wrestling Gre-R,"Schumann, Carl",GER,Men,Open Event,Gold
1896,Athens,Wrestling,Wrestling Gre-R,"Tsitas, Georgios",GRE,Men,Open Event,Silver
1900,Paris,Aquatics,Swimming,"Halmay, Zoltan",HUN,Men,1500M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"Jarvis, John Arthur",GBR,Men,1500M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"Wahle, Otto",AUT,Men,1500M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"Drost, Johannes",NED,Men,200M Backstroke,Bronze
1900,Paris,Aquatics,Swimming,"Hoppenberg, Ernst",GER,Men,200M Backstroke,Gold
1900,Paris,Aquatics,Swimming,"Ruberl, Karl",AUT,Men,200M Backstroke,Silver
1900,Paris,Aquatics,Swimming,"Ruberl, Karl",AUT,Men,200M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"Lane, Frederick C.V.",AUS,Men,200M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"Halmay, Zoltan",HUN,Men,200M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"Kemp, Peter",GBR,Men,200M Obstacle Event,Bronze
1900,Paris,Aquatics,Swimming,"Lane, Frederick C.V.",AUS,Men,200M Obstacle Event,Gold
1900,Paris,Aquatics,Swimming,"Wahle, Otto",AUT,Men,200M Obstacle Event,Silver
1900,Paris,Aquatics,Swimming,Houben,FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"Leuillieux, Jean",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"Martin, Louis",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"Merchez, Désiré",FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,Tartara,FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,"Frey, Julius",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"Hainle, Max",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"Hoppenberg, Ernst",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"Schöne, Max",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,"Von Petersdorff, Herbert",GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,Bertrand,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,Cadet,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"Hochepied, Maurice",FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"Hochepied, Victor",FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,Verbecke,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,"Martin, Louis",FRA,Men,4000M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,"Jarvis, John Arthur",GBR,Men,4000M Freestyle,Gold
1900,Paris,Aquatics,Swimming,"Halmay, Zoltan",HUN,Men,4000M Freestyle,Silver
1900,Paris,Aquatics,Swimming,"Lykkeberg, Peder",DEN,Men,Underwater Swimming,Bronze
1900,Paris,Aquatics,Swimming,"De Vendeville, Charles",FRA,Men,Underwater Swimming,Gold
1900,Paris,Aquatics,Swimming,"Six, André",FRA,Men,Underwater Swimming,Silver
1900,Paris,Aquatics,Water polo,"Burgess, Thomas",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Coulon,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Decuyper, Alphonse",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Devenot,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Fardelle,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Favier,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Laufray, Louis",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Leriche,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Martin, Louis",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Merchez, Désiré",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Peslier, Henri",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,Pesloy,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Treffel, Charles",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Vasseur, Paul",FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,"Coe, Thomas",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Derbyshire, John Henry",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Kemp, Peter",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Lister, William",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Robertson, Arthur",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Robinson, Eric",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Wilkinson, George",GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,"Cohen, Henri",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"De Backer, Jean",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"De Behr, Victor",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"Feyaerts, Fernand",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"Gregoire, Oscar",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"Michant, Albert",BEL,Men,Water Polo,Silver
1900,Paris,Aquatics,Water polo,"Sonnemans, Victor",BEL,Men,Water Polo,Silver
1900,Paris,Archery,Archery,"Petit, Charles Frédéric",FRA,Men,"Au Chapelet, 33M",Bronze
1900,Paris,Archery,Archery,"Van Innis, Hubert",BEL,Men,"Au Chapelet, 33M",Gold
1900,Paris,Archery,Archery,"Thibaud, Victor",FRA,Men,"Au Chapelet, 33M",Silver
1900,Paris,Archery,Archery,"Mercier, Emile",FRA,Men,"Au Chapelet, 50M",Bronze
1900,Paris,Archery,Archery,"Mougin, Eugène",FRA,Men,"Au Chapelet, 50M",Gold
1900,Paris,Archery,Archery,"Helle, Henri",FRA,Men,"Au Chapelet, 50M",Silver
1900,Paris,Archery,Archery,"Petit, Charles Frédéric",FRA,Men,"Au Cordon Doré, 33M",Bronze
1900,Paris,Archery,Archery,"Van Innis, Hubert",BEL,Men,"Au Cordon Doré, 33M",Gold
1900,Paris,Archery,Archery,"Thibaud, Victor",FRA,Men,"Au Cordon Doré, 33M",Silver
1900,Paris,Archery,Archery,"Fisseux, Emile",FRA,Men,"Au Cordon Doré, 50M",Bronze
1900,Paris,Archery,Archery,"Herouin, Henri",FRA,Men,"Au Cordon Doré, 50M",Gold
1900,Paris,Archery,Archery,"Van Innis, Hubert",BEL,Men,"Au Cordon Doré, 50M",Silver
1900,Paris,Archery,Archery,"Foulon, Emmanuel",BEL,Men,Sur La Perche À La Herse,Gold
1900,Paris,Archery,Archery,"Druart, Jr.",BEL,Men,Sur La Perche À La Herse,Silver
1900,Paris,Archery,Archery,"Serrurier, Auguste",FRA,Men,Sur La Perche À La Herse,Silver
1900,Paris,Archery,Archery,"Glineux, Louis",BEL,Men,Sur La Perche À La Pyramide,Bronze
1900,Paris,Archery,Archery,"Grumiaux, Emile",FRA,Men,Sur La Perche À La Pyramide,Gold
1900,Paris,Archery,Archery,"Serrurier, Auguste",FRA,Men,Sur La Perche À La Pyramide,Silver
1900,Paris,Athletics,Athletics,"Rowley, Stanley",AUS,Men,100M,Bronze
1900,Paris,Athletics,Athletics,"Jarvis, Francis",USA,Men,100M,Gold
1900,Paris,Athletics,Athletics,"Tewksbury, Walter B. John",USA,Men,100M,Silver
1900,Paris,Athletics,Athletics,"Moloney, Frederick",USA,Men,110M Hurdles,Bronze
1900,Paris,Athletics,Athletics,"Kraenzlein, Alvin",USA,Men,110M Hurdles,Gold
1900,Paris,Athletics,Athletics,"Mclean, John",USA,Men,110M Hurdles,Silver
1900,Paris,Athletics,Athletics,"Bray, John",USA,Men,1500M,Bronze
1900,Paris,Athletics,Athletics,"Bennett, Charles",GBR,Men,1500M,Gold
1900,Paris,Athletics,Athletics,"Deloge, Henri",FRA,Men,1500M,Silver
1900,Paris,Athletics,Athletics,"Rowley, Stanley",AUS,Men,200M,Bronze
1900,Paris,Athletics,Athletics,"Tewksbury, Walter B. John",USA,Men,200M,Gold
1900,Paris,Athletics,Athletics,"Pritchard, Norman",IND,Men,200M,Silver
1900,Paris,Athletics,Athletics,"Tewksbury, Walter B. John",USA,Men,200M Hurdles,Bronze
1900,Paris,Athletics,Athletics,"Kraenzlein, Alvin",USA,Men,200M Hurdles,Gold
1900,Paris,Athletics,Athletics,"Pritchard, Norman",IND,Men,200M Hurdles,Silver
1900,Paris,Athletics,Athletics,"Chastanie, Jacques",FRA,Men,3000M Steeplechase,Bronze
1900,Paris,Athletics,Athletics,"Orton, George",CAN,Men,3000M Steeplechase,Gold
1900,Paris,Athletics,Athletics,"Robinson, Sidney",GBR,Men,3000M Steeplechase,Silver
1900,Paris,Athletics,Athletics,"Robinson, Sidney",GBR,Men,4000M Steeplechase,Bronze
1900,Paris,Athletics,Athletics,"Rimmer, John",GBR,Men,4000M Steeplechase,Gold
1900,Paris,Athletics,Athletics,"Bennett, Charles",GBR,Men,4000M Steeplechase,Silver
1900,Paris,Athletics,Athletics,"Schultz, Ernst",DEN,Men,400M,Bronze
1900,Paris,Athletics,Athletics,"Long, Maxwell W.Maxey",USA,Men,400M,Gold
1900,Paris,Athletics,Athletics,"Holland, William",USA,Men,400M,Silver
1900,Paris,Athletics,Athletics,"Orton, George",CAN,Men,400M Hurdles,Bronze
1900,Paris,Athletics,Athletics,"Tewksbury, Walter B. John",USA,Men,400M Hurdles,Gold
1900,Paris,Athletics,Athletics,"Tauzin, Henri",FRA,Men,400M Hurdles,Silver
1900,Paris,Athletics,Athletics,"Bennett, Charles",ZZX,Men,5000M Team,Gold
1900,Paris,Athletics,Athletics,"Rimmer, John",ZZX,Men,5000M Team,Gold
1900,Paris,Athletics,Athletics,"Robinson, Sidney",ZZX,Men,5000M Team,Gold
1900,Paris,Athletics,Athletics,"Rowley, Stanley",ZZX,Men,5000M Team,Gold
1900,Paris,Athletics,Athletics,"Tysoe, Alfred",ZZX,Men,5000M Team,Gold
1900,Paris,Athletics,Athletics,"Castanet, André",FRA,Men,5000M Team,Silver
1900,Paris,Athletics,Athletics,"Champoudry, Michel",FRA,Men,5000M Team,Silver
1900,Paris,Athletics,Athletics,"Chastanie, Jacques",FRA,Men,5000M Team,Silver
1900,Paris,Athletics,Athletics,"Deloge, Henri",FRA,Men,5000M Team,Silver
1900,Paris,Athletics,Athletics,"Ragueneau, Gaston",FRA,Men,5000M Team,Silver
1900,Paris,Athletics,Athletics,"Rowley, Stanley",AUS,Men,60M,Bronze
1900,Paris,Athletics,Athletics,"Kraenzlein, Alvin",USA,Men,60M,Gold
1900,Paris,Athletics,Athletics,"Tewksbury, Walter B. John",USA,Men,60M,Silver
1900,Paris,Athletics,Athletics,"Hall, David",USA,Men,800M,Bronze
1900,Paris,Athletics,Athletics,"Tysoe, Alfred",GBR,Men,800M,Gold
1900,Paris,Athletics,Athletics,"Cregan, John",USA,Men,800M,Silver
1900,Paris,Athletics,Athletics,"Sheldon, Richard",USA,Men,Discus Throw,Bronze
1900,Paris,Athletics,Athletics,"Bauer, Rudolf",HUN,Men,Discus Throw,Gold
1900,Paris,Athletics,Athletics,"Janda, Frantisek",BOH,Men,Discus Throw,Silver
1900,Paris,Athletics,Athletics,"Mccracken, Josiah",USA,Men,Hammer Throw,Bronze
1900,Paris,Athletics,Athletics,"Flanagan, John Jesus",USA,Men,Hammer Throw,Gold
1900,Paris,Athletics,Athletics,"Hare, Thomas Truxton",USA,Men,Hammer Throw,Silver
1900,Paris,Athletics,Athletics,"Gönczy, Lajos",HUN,Men,High Jump,Bronze
1900,Paris,Athletics,Athletics,"Baxter, Irving",USA,Men,High Jump,Gold
1900,Paris,Athletics,Athletics,"Leahy, Patrick Joseph",GBR,Men,High Jump,Silver
1900,Paris,Athletics,Athletics,"Sheldon, Lewis Pendleton",USA,Men,"High Jump, Standing",Bronze
1900,Paris,Athletics,Athletics,"Ewry, Ray",USA,Men,"High Jump, Standing",Gold
1900,Paris,Athletics,Athletics,"Baxter, Irving",USA,Men,"High Jump, Standing",Silver
1900,Paris,Athletics,Athletics,"Leahy, Patrick Joseph",GBR,Men,Long Jump,Bronze
